num_overall,num_season,episode_title,directed_by,written_by,aired_at,prod_code,season
1,1,Episode 1,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"July 17, 2014",101,1
2,2,Episode 2,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"July 24, 2014",102,1
3,3,Episode 3,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"July 31, 2014",103,1
4,4,Episode 4,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"August 7, 2014",104,1
5,5,Episode 5,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"August 14, 2014",105,1
6,1,Port Of Call: Hawaii – Episode 1,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 9, 2015",201,2
7,2,Port Of Call: Hawaii – Episode 2,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 10, 2015",202,2
8,3,Port Of Call: Hawaii – Episode 3,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 11, 2015",203,2
9,4,Port Of Call: Hawaii – Episode 4,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 12, 2015",204,2
10,5,Port Of Call: Hawaii – Episode 5,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 13, 2015",205,2
11,6,Port Of Call: Hawaii – Episode 6,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 14, 2015",206,2
12,7,Port Of Call: Hawaii – Episode 7,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 17, 2015",207,2
13,8,Port Of Call: Hawaii – Episode 8,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 18, 2015",208,2
14,9,Port Of Call: Hawaii – Episode 9,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 19, 2015",209,2
15,10,Port Of Call: Hawaii – Episode 10,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 20, 2015",210,2
16,11,Port Of Call: Hawaii – Episode 11,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 23, 2015",211,2
17,12,Port Of Call: Hawaii – Episode 12,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 24, 2015",212,2
18,13,Port Of Call: Hawaii – Episode 13,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 25, 2015",213,2
19,14,Port Of Call: Hawaii – Episode 14,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 26, 2015",214,2
20,15,Port Of Call: Hawaii – Episode 15,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 27, 2015",215,2
21,16,Port Of Call: Hawaii – Episode 16,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 30, 2015",216,2
22,17,Port Of Call: Hawaii – Episode 17,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"March 31, 2015",217,2
23,18,Port Of Call: Hawaii – Episode 18,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"April 1, 2015",218,2
24,19,Port Of Call: Hawaii – Episode 19,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"April 2, 2015",219,2
25,20,Port Of Call: Hawaii – Episode 20,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"April 3, 2015",220,2,
,1,Decker at Cinefamily,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"May 29, 2015",,
26,1,Decker 3 - Episode 1,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"October 12, 2015",301,3
27,2,Gregg Turkington's Decker Vs. Dracula - Episode 2,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"October 13, 2015",302,3
28,3,Gregg Turkington's Decker Vs. Dracula - Episode 3,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"October 14, 2015",303,3
29,4,Decker Vs. Dracula - Episode 4,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"October 15, 2015",304,3
30,1,All Good Things...,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"June 17, 2016",401,4
31,2,The New Recruits,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"June 24, 2016",402,4
32,3,The Butterfly Effect,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"July 8, 2016",403,4
33,4,Global Hoax,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"July 15, 2016",404,4
34,5,Band Together,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"July 22, 2016",405,4
35,6,A New Hero,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"July 29, 2016",406,4
36,1,Sonrise,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"June 4, 2017",501,5
37,2,Promises Kept,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"June 11, 2017",502,5
38,3,Double Decker,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"June 18, 2017",503,5
39,4,Private Sector,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"June 25, 2017",504,5
40,5,Same Old Glory,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"July 2, 2017",505,5
41,6,A Grave Matter,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"July 9, 2017",506,5
42,1,Lesser of Two Evils,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"July 16, 2017",601,6
43,2,Trouble on the Bayou,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"July 23, 2017",602,6
44,3,DavidsonCare,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"July 30, 2017",603,6
45,4,Desert Caravan,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"August 6, 2017",604,6
46,5,Rock and a Hard Place,Eric Notarnicola,Tim Heidecker & Gregg Turkington,"August 13, 2017",605,6
